text,label
Batho ba bua ka ikonomi,1
ikonomi o kae,1
Re kutlwelobotlhoko ka mmuso,2
Batho ba botlhoko puso,0
boeteledipele e boferefere thata,0
ditshwanelo e tlhaelo thata,0
Re itse tokololo,1
boitekanelo o kae,1
Batho ba kgotla lekgotla,2
Re monate ka ikonomi,2
Ke botlhoko ikonomi,0
Ke mathata boitekanelo,0
Re kutlwelobotlhoko ka molao,0
Ke kutlwelobotlhoko tonakgolo,2
Ke hutsafala boeteledipele,0
Re siame ka tshiamelo,2
Batho ba kgalefo modulasetilo,0
Batho ba bosula mmuso,0
puso o dira boammaaruri,2
batho e kgatelelo thata,0
modulasetilo e bosula thata,0
Ke bona thulaganyo,1
thuto e kutlwelobotlhoko thata,0
Ke bona lekgotla,1
ditshwanelo e dikgwetlho thata,0
Re itse boitekanelo,1
ikonomi o dira kgatelelo,0
batho e teng,1
Re itse dikgethololo,1
Batho ba boammaaruri molao,2
Ke bona boitekanelo,1
tshiamelo e boikepo thata,0
Re itse mmuso,1
Ke molemo thuto,2
Batho ba bua ka boeteledipele,1
lekgotla e tshiamo thata,2
Batho ba maswe kgethololo,0
Batho ba molemo tonakgolo,2
Batho ba kutlwelobotlhoko lekgotla,0
Re itse boeteledipele,1
Re boikepo ka tshiamelo,0
batho e hutsafala thata,0
dikgethololo e teng,1
dikgethololo o kae,1
dikgethololo e teng,1
Batho ba bosula puso,0
Ke botlhoko ditshwanelo,0
Ke kgatelelo palamente,0
Re boikepo ka boeteledipele,0
Re boammaaruri ka puso,2
Ke bona ditshwanelo,1
Ke kgalefo mmuso,0
boitekanelo e boferefere thata,0
thuto e thabo thata,2
thulaganyo e hutsafala thata,0
Batho ba monate tokololo,2
Ke bona modulasetilo,1
polotiki o dira maswe,0
boitekanelo o dira monate,2
Ke kutlwelobotlhoko tshiamelo,2
Re botoka ka thuto,2
Ke itumelela puso,2
tonakgolo o kae,1
modulasetilo o dira hutsafala,0
kgethololo o dira tlhaelo,0
Batho ba hutsafala molao,0
Batho ba bua ka thulaganyo,1
dikgethololo o dira kgatelelo,0
Re itse setšhaba,1
Ke kgotso ikonomi,2
Ke bosula setšhaba,0
kgethololo o dira boikepo,0
palamente o dira kgotso,2
Ke bona palamente,1
Ke rata batho,2
Re tlhong ka boitekanelo,0
Ke bona lekgotla,1
Batho ba hutsafala thuto,0
Batho ba kagiso lekgotla,2
mmuso o kae,1
Re boikepo ka polotiki,0
molao e kgotla thata,2
mmuso e bosula thata,0
ikonomi e teng,1
Ke bona thuto,1
Ke bona dikgethololo,1
boeteledipele o dira bogale,0
molao e teng,1
Re maswe ka puso,0
Re dikgwetlho ka batho,0
tonakgolo o kae,1
dikgethololo o kae,1
palamente o dira thabo,2
molao e kgotla thata,2
Batho ba bua ka mmuso,1
palamente e teng,1
Ke kgalefo modulasetilo,0
Batho ba kutlwelobotlhoko thulaganyo,2
Re itse boeteledipele,1
Re itse thulaganyo,1
Batho ba tlhaelo thulaganyo,0
Ke bona setšhaba,1
ditshwanelo e bosula thata,0
Ke hutsafala lekgotla,0
Ke bona thuto,1
Ke kgotla palamente,2
Re itse modulasetilo,1
Ke kgalefo lekgotla,0
Re itse setšhaba,1
Batho ba boitumelo kgethololo,2
Ke bona thuto,1
polotiki o dira boferefere,0
Ke bona tokololo,1
Re itumelela ka batho,2
Ke boitumelo setšhaba,2
modulasetilo o dira tlhokafalo,0
Batho ba kutlwelobotlhoko lekgotla,0
tshiamelo e molemo thata,2
Batho ba pabalesego tonakgolo,2
Ke bona molao,1
Batho ba monate tonakgolo,2
Ke bona tokololo,1
polotiki e teng,1
thuto e teng,1
Batho ba rata puso,2
Ke boitumelo setšhaba,2
batho o dira kagiso,2
puso e teng,1
Ke bona boitekanelo,1
Re dikgwetlho ka tonakgolo,0
tshiamelo e mathata thata,0
tokololo e teng,1
boeteledipele o dira molemo,2
ikonomi e botoka thata,2
Re botlhoko ka boeteledipele,0
setšhaba e kgalefo thata,0
Batho ba botlhoko palamente,0
Ke thabo thuto,2
Batho ba itumelela molao,2
Re itse mmuso,1
mmuso e hutsafala thata,0
ikonomi o dira tlhong,0
Ke kutlwelobotlhoko ikonomi,0
Re kgatelelo ka kgethololo,0
Re botoka ka tshiamelo,2
Batho ba bua ka tokololo,1
Batho ba botlhoko tonakgolo,0
Re kutlwelobotlhoko ka lekgotla,2
Re itumelela ka kgethololo,2
thulaganyo e kutlwelobotlhoko thata,0
Batho ba bua ka puso,1
Ke bona thulaganyo,1
Ke hutsafala thulaganyo,0
boitekanelo o dira monate,2
Batho ba siame molao,2
Ke bona kgethololo,1
Batho ba bua ka thulaganyo,1
Ke bona molao,1
polotiki o dira hutsafala,0
Batho ba kgatelelo setšhaba,0
Batho ba bua ka lekgotla,1
Ke bona modulasetilo,1
tshiamelo e siame thata,2
Ke kagiso molao,2
palamente e tlhokafalo thata,0
Re rata ka tonakgolo,2
dikgethololo e kutlwelobotlhoko thata,0
Re kgatelelo ka modulasetilo,0
Batho ba bogale lekgotla,0
Re thabo ka tonakgolo,2
Ke molemo tshiamelo,2
kgethololo o dira kutlwelobotlhoko,0
modulasetilo o kae,1
boitekanelo e botlhoko thata,0
Batho ba bua ka modulasetilo,1
Re itse ikonomi,1
kgethololo e monate thata,2
boeteledipele o kae,1
Batho ba molemo puso,2
Batho ba bua ka polotiki,1
batho e kgalefo thata,0
Ke tlhaelo tonakgolo,0
Ke kutlwelobotlhoko setšhaba,0
Batho ba maswe ikonomi,0
modulasetilo e botlhoko thata,0
thuto o dira itumelela,2
Re boikepo ka boitekanelo,0
batho o dira kagiso,2
puso o dira kagiso,2
Ke kgalefo molao,0
boeteledipele e thabo thata,2
lekgotla e sentle thata,2
puso o dira kutlwelobotlhoko,0
tokololo e hutsafala thata,0
molao e kagiso thata,2
kgethololo o kae,1
Re boikepo ka mmuso,0
boitekanelo e kgatelelo thata,0
Re itse boeteledipele,1
Re kutlwelobotlhoko ka tonakgolo,0
Re kutlwelobotlhoko ka ikonomi,0
Ke bona boitekanelo,1
Ke bona puso,1
