text,label
Batho ba bua ka kgethololo,1
Ke maswe polotiki,0
Re boikepo ka batho,0
puso o kae,1
setšhaba e teng,1
tshiamelo o dira thabo,2
modulasetilo o dira hutsafala,0
Batho ba mathata puso,0
Batho ba dikgwetlho dikgethololo,0
Re itumelela ka ditshwanelo,2
Batho ba tlhokafalo kgethololo,0
Re maswe ka lekgotla,0
Ke tlhokafalo mmuso,0
kgethololo e kgotso thata,2
Batho ba bua ka polotiki,1
Ke kutlwelobotlhoko puso,2
boitekanelo o kae,1
tshiamelo e kutlwelobotlhoko thata,0
Batho ba siame palamente,2
Batho ba bua ka molao,1
Re itse batho,1
tonakgolo o kae,1
mmuso o kae,1
Batho ba boitumelo mmuso,2
Batho ba botoka batho,2
Ke itumelela mmuso,2
puso o dira kgatelelo,0
Batho ba bua ka boeteledipele,1
Re bosula ka dikgethololo,0
Batho ba monate tokololo,2
molao o dira pabalesego,2
ditshwanelo o dira kgotso,2
Re itse tshiamelo,1
palamente e botlhoko thata,0
Batho ba bosula polotiki,0
setšhaba e teng,1
boeteledipele o dira rata,2
batho e kgotso thata,2
Batho ba kagiso boitekanelo,2
ikonomi e boammaaruri thata,2
ditshwanelo o dira kgatelelo,0
Ke rata ditshwanelo,2
batho o kae,1
thuto e teng,1
Ke tlhokafalo batho,0
Batho ba lapile batho,0
Ke rata dikgethololo,2
Ke tshiamo ditshwanelo,2
tshiamelo o dira kgalefo,0
Re itse polotiki,1
Re monate ka palamente,2
Re itse setšhaba,1
lekgotla o dira bosula,0
Ke dikgwetlho molao,0
ditshwanelo e botlhoko thata,0
Ke rata ikonomi,2
tonakgolo o dira maswe,0
Batho ba thabo thuto,2
boitekanelo o kae,1
Re siame ka tonakgolo,2
Batho ba dikgwetlho puso,0
Ke bona boitekanelo,1
Ke bona dikgethololo,1
lekgotla o dira kgatelelo,0
kgethololo o dira mathata,0
lekgotla e boitumelo thata,2
Ke bona dikgethololo,1
Ke kgatelelo puso,0
boeteledipele o dira kagiso,2
Ke mathata mmuso,0
Batho ba bua ka thulaganyo,1
tshiamelo o dira kgotla,2
ditshwanelo o dira kgotla,2
Re tlhong ka puso,0
puso e teng,1
Ke kgotla batho,2
mmuso e teng,1
Re itse dikgethololo,1
modulasetilo o kae,1
Batho ba tlhokafalo kgethololo,0
modulasetilo o dira rata,2
mmuso o dira botoka,2
Ke bona setšhaba,1
Batho ba kutlwelobotlhoko thuto,2
ditshwanelo e boitumelo thata,2
Ke kutlwelobotlhoko modulasetilo,0
Ke boferefere ikonomi,0
Batho ba thabo lekgotla,2
tshiamelo e teng,1
kgethololo o kae,1
modulasetilo e hutsafala thata,0
thulaganyo o kae,1
polotiki e teng,1
Batho ba tlhong batho,0
Ke tshiamo ditshwanelo,2
