text,label
ikonomi e molemo thata,2
setšhaba e teng,1
Re kutlwelobotlhoko ka boitekanelo,2
Re itse boeteledipele,1
Batho ba tshiamo batho,2
Re itse mmuso,1
Batho ba bosula lekgotla,0
Re boikepo ka modulasetilo,0
polotiki o dira kutlwelobotlhoko,2
setšhaba e kutlwelobotlhoko thata,0
tshiamelo o dira siame,2
Ke molemo tonakgolo,2
dikgethololo e teng,1
thulaganyo e teng,1
Ke kgotla tshiamelo,2
kgethololo o dira mathata,0
ikonomi o dira monate,2
Ke botlhoko boeteledipele,0
Ke botlhoko puso,0
modulasetilo o dira mathata,0
Re itse puso,1
tokololo o dira monate,2
tokololo o dira kutlwelobotlhoko,2
boitekanelo e monate thata,2
kgethololo o dira kutlwelobotlhoko,0
Ke maswe boeteledipele,0
ikonomi o dira boitumelo,2
Batho ba bua ka boeteledipele,1
Batho ba kutlwelobotlhoko boeteledipele,2
batho e thabo thata,2
Ke boitumelo dikgethololo,2
Re itse lekgotla,1
ditshwanelo o kae,1
Re pabalesego ka batho,2
puso e rata thata,2
ditshwanelo e botoka thata,2
ditshwanelo e kgatelelo thata,0
Re mathata ka ikonomi,0
Batho ba bogale ditshwanelo,0
tshiamelo e sentle thata,2
Batho ba dikgwetlho batho,0
Batho ba bosula ditshwanelo,0
Ke mathata ikonomi,0
boitekanelo e teng,1
Ke bona tshiamelo,1
molao o dira dikgwetlho,0
Batho ba kutlwelobotlhoko setšhaba,2
Batho ba boitumelo dikgethololo,2
Ke thabo puso,2
Re kgalefo ka boitekanelo,0
Batho ba kutlwelobotlhoko kgethololo,0
Batho ba bua ka tshiamelo,1
Re hutsafala ka ikonomi,0
Re botlhoko ka tonakgolo,0
Re tlhaelo ka ditshwanelo,0
Batho ba thabo batho,2
palamente o kae,1
Ke kgatelelo thuto,0
Ke bosula tonakgolo,0
Ke dikgwetlho tonakgolo,0
Re boitumelo ka puso,2
Batho ba bua ka mmuso,1
modulasetilo e teng,1
tshiamelo o dira boitumelo,2
ikonomi e kgalefo thata,0
Re boammaaruri ka boeteledipele,2
Re kutlwelobotlhoko ka lekgotla,0
thuto o dira boferefere,0
batho e teng,1
Re boammaaruri ka boeteledipele,2
Re boferefere ka batho,0
Ke tshiamo tshiamelo,2
Re kutlwelobotlhoko ka setšhaba,0
polotiki e monate thata,2
Batho ba boikepo polotiki,0
Batho ba bua ka tokololo,1
polotiki e tlhaelo thata,0
tshiamelo o dira pabalesego,2
Ke bona boitekanelo,1
Ke bona ikonomi,1
Re boferefere ka batho,0
polotiki e teng,1
molao o kae,1
Re itse modulasetilo,1
Re itse lekgotla,1
Ke dikgwetlho tshiamelo,0
Re itse tshiamelo,1
kgethololo e boikepo thata,0
Ke tlhokafalo batho,0
Re boferefere ka kgethololo,0
ikonomi e kgotso thata,2
Ke bona boeteledipele,1
batho e teng,1
mmuso e teng,1
Re kagiso ka tonakgolo,2
Re itse tokololo,1
tonakgolo o dira hutsafala,0
Ke kgotla modulasetilo,2
batho e boferefere thata,0
thuto o dira boikepo,0
thuto o dira botoka,2
batho o kae,1
tokololo e tlhokafalo thata,0
Batho ba bua ka lekgotla,1
Re bogale ka tonakgolo,0
Ke mathata boitekanelo,0
Re itse boeteledipele,1
palamente o kae,1
Batho ba bua ka batho,1
Ke tshiamo ikonomi,2
ditshwanelo o dira mathata,0
Re itse ikonomi,1
Ke mathata ditshwanelo,0
Batho ba bogale boeteledipele,0
Re boitumelo ka modulasetilo,2
dikgethololo o dira boammaaruri,2
Batho ba tshiamo tonakgolo,2
Batho ba botlhoko boitekanelo,0
Ke kutlwelobotlhoko batho,2
thuto e boammaaruri thata,2
Ke kgotla dikgethololo,2
tonakgolo o kae,1
ikonomi e botoka thata,2
Re itse palamente,1
Ke maswe kgethololo,0
mmuso e siame thata,2
Re tlhokafalo ka ikonomi,0
Batho ba rata kgethololo,2
Batho ba bua ka palamente,1
Re kgalefo ka dikgethololo,0
batho e thabo thata,2
setšhaba e kutlwelobotlhoko thata,2
Re itse boeteledipele,1
Ke botlhoko setšhaba,0
Batho ba boikepo tonakgolo,0
Ke kagiso tshiamelo,2
modulasetilo e tlhaelo thata,0
molao o kae,1
modulasetilo e teng,1
puso e kgotso thata,2
tshiamelo o kae,1
Batho ba tlhokafalo tonakgolo,0
Ke tlhong ditshwanelo,0
Re sentle ka polotiki,2
boeteledipele e teng,1
Re dikgwetlho ka lekgotla,0
palamente e teng,1
Ke bona batho,1
mmuso o kae,1
puso e teng,1
Ke kgotla palamente,2
polotiki e monate thata,2
Ke bona polotiki,1
batho o dira botoka,2
palamente e kgalefo thata,0
Ke siame thulaganyo,2
Ke siame tokololo,2
dikgethololo o dira boferefere,0
Re siame ka puso,2
tshiamelo e teng,1
palamente e teng,1
Re tlhaelo ka ikonomi,0
ikonomi e teng,1
Ke bona modulasetilo,1
Re itse thulaganyo,1
setšhaba e teng,1
Ke monate tshiamelo,2
Re pabalesego ka polotiki,2
lekgotla e teng,1
Ke rata tshiamelo,2
Ke hutsafala palamente,0
Re itse molao,1
Re rata ka setšhaba,2
Batho ba bua ka kgethololo,1
Ke kutlwelobotlhoko boeteledipele,0
Re itse tonakgolo,1
thuto o dira tlhaelo,0
Ke bona setšhaba,1
batho e hutsafala thata,0
Re itumelela ka thuto,2
Batho ba boikepo molao,0
Batho ba botoka palamente,2
tonakgolo o dira tlhokafalo,0
tshiamelo e teng,1
ikonomi o dira maswe,0
puso o dira tlhong,0
Batho ba bua ka tshiamelo,1
lekgotla o dira tshiamo,2
mmuso o dira kagiso,2
batho e hutsafala thata,0
kgethololo e teng,1
Batho ba kgotla boitekanelo,2
Batho ba tlhaelo tshiamelo,0
modulasetilo e bosula thata,0
Re bogale ka tshiamelo,0
Re tlhong ka lekgotla,0
Re maswe ka lekgotla,0
tshiamelo o kae,1
ikonomi e kgalefo thata,0
Re monate ka boeteledipele,2
Re tlhaelo ka tokololo,0
Ke thabo ikonomi,2
kgethololo o kae,1
polotiki e boitumelo thata,2
Ke bona ikonomi,1
Re hutsafala ka molao,0
Re tlhong ka thulaganyo,0
modulasetilo e siame thata,2
Re itse setšhaba,1
boitekanelo e kagiso thata,2
Batho ba boammaaruri lekgotla,2
Batho ba bosula tonakgolo,0
Ke kgalefo thulaganyo,0
Re botlhoko ka mmuso,0
thuto o dira monate,2
Re bogale ka modulasetilo,0
Re tlhaelo ka ditshwanelo,0
Batho ba boikepo kgethololo,0
Ke rata thulaganyo,2
Re itse boitekanelo,1
Re itse ditshwanelo,1
Ke kutlwelobotlhoko tshiamelo,0
Batho ba bua ka modulasetilo,1
Ke botlhoko palamente,0
Ke bona lekgotla,1
ditshwanelo e teng,1
Ke kgotla thuto,2
modulasetilo e teng,1
kgethololo o dira bosula,0
Ke siame tshiamelo,2
polotiki o dira bosula,0
ikonomi o dira itumelela,2
Ke boferefere ditshwanelo,0
Re mathata ka boeteledipele,0
Re kgatelelo ka kgethololo,0
Batho ba bua ka palamente,1
boitekanelo e teng,1
thuto o dira kagiso,2
ikonomi e kutlwelobotlhoko thata,0
tokololo o kae,1
Ke kutlwelobotlhoko boeteledipele,2
molao e dikgwetlho thata,0
Ke kgalefo palamente,0
Ke mathata polotiki,0
polotiki e tlhong thata,0
setšhaba e teng,1
Batho ba dikgwetlho ditshwanelo,0
Batho ba molemo lekgotla,2
batho e teng,1
Re kgalefo ka tonakgolo,0
Ke maswe tonakgolo,0
tonakgolo o dira maswe,0
puso o dira kgotso,2
polotiki e tlhokafalo thata,0
Batho ba bosula molao,0
mmuso e teng,1
Re bosula ka boeteledipele,0
Batho ba bua ka tokololo,1
palamente o dira molemo,2
polotiki o dira hutsafala,0
Batho ba boferefere molao,0
tonakgolo o kae,1
Batho ba siame boeteledipele,2
Batho ba bua ka lekgotla,1
Ke bona setšhaba,1
ditshwanelo o dira siame,2
Batho ba dikgwetlho palamente,0
Re kutlwelobotlhoko ka thuto,0
Re tlhaelo ka tokololo,0
tokololo e molemo thata,2
Re itse ditshwanelo,1
Batho ba bua ka boitekanelo,1
Ke botoka tokololo,2
palamente e itumelela thata,2
Ke kutlwelobotlhoko ditshwanelo,2
Re itse dikgethololo,1
molao o dira siame,2
Ke bona tonakgolo,1
Batho ba tlhaelo lekgotla,0
Ke bona thulaganyo,1
Ke mathata kgethololo,0
boitekanelo o dira molemo,2
Re bogale ka tonakgolo,0
setšhaba e bosula thata,0
Re itumelela ka thulaganyo,2
Ke mathata ditshwanelo,0
boeteledipele o dira boikepo,0
Ke kutlwelobotlhoko tokololo,0
modulasetilo e teng,1
Batho ba tlhong mmuso,0
ikonomi e bosula thata,0
Batho ba boferefere setšhaba,0
Re kgalefo ka thuto,0
tokololo o dira kutlwelobotlhoko,2
Ke bona boitekanelo,1
polotiki o dira maswe,0
ikonomi o dira boikepo,0
Batho ba bua ka tshiamelo,1
Batho ba kgatelelo dikgethololo,0
Re kagiso ka thuto,2
Ke kgotso tokololo,2
Batho ba tlhaelo thuto,0
Re pabalesego ka setšhaba,2
Ke tlhong lekgotla,0
thuto o dira boferefere,0
Batho ba tlhaelo polotiki,0
Re mathata ka tshiamelo,0
Ke rata boeteledipele,2
lekgotla e tshiamo thata,2
lekgotla o dira siame,2
Batho ba boikepo boitekanelo,0
Ke tlhokafalo dikgethololo,0
setšhaba e teng,1
Re itumelela ka thuto,2
puso e kgotso thata,2
tonakgolo o dira monate,2
Batho ba bua ka tshiamelo,1
Ke monate dikgethololo,2
puso e siame thata,2
Batho ba botoka boeteledipele,2
thulaganyo e teng,1
batho o dira pabalesego,2
Re boitumelo ka lekgotla,2
Batho ba tlhong boeteledipele,0
batho o dira boikepo,0
Ke botoka puso,2
Ke botoka tshiamelo,2
Re itse puso,1
Batho ba botlhoko tshiamelo,0
thuto o kae,1
Re itse lekgotla,1
puso e monate thata,2
Ke boitumelo lekgotla,2
mmuso o kae,1
setšhaba e botlhoko thata,0
thuto o dira bosula,0
setšhaba o dira molemo,2
Re tlhong ka boeteledipele,0
Re boitumelo ka polotiki,2
Ke pabalesego tonakgolo,2
Re boikepo ka puso,0
Ke tlhong polotiki,0
boeteledipele e teng,1
palamente e kgotla thata,2
Batho ba pabalesego kgethololo,2
Re itse mmuso,1
Re itumelela ka tokololo,2
puso o dira itumelela,2
Re itse polotiki,1
Ke tlhokafalo ditshwanelo,0
Ke bosula batho,0
Batho ba bua ka palamente,1
molao o dira boferefere,0
Re boammaaruri ka molao,2
Batho ba boitumelo dikgethololo,2
modulasetilo e teng,1
dikgethololo e mathata thata,0
Re sentle ka mmuso,2
Ke bona thulaganyo,1
thuto o dira kgotla,2
Batho ba molemo setšhaba,2
Re siame ka tonakgolo,2
Batho ba maswe kgethololo,0
kgethololo o dira kutlwelobotlhoko,2
Ke bosula ditshwanelo,0
palamente o dira kutlwelobotlhoko,0
Re boammaaruri ka lekgotla,2
tokololo o dira kagiso,2
Batho ba boammaaruri dikgethololo,2
Batho ba tlhong ikonomi,0
lekgotla o kae,1
Batho ba sentle polotiki,2
Batho ba bua ka kgethololo,1
Ke dikgwetlho puso,0
Batho ba siame boitekanelo,2
boeteledipele e teng,1
boitekanelo o dira kgotso,2
ditshwanelo e tshiamo thata,2
Batho ba boferefere tshiamelo,0
Re itse thuto,1
Re itse mmuso,1
boitekanelo e teng,1
tokololo o dira tlhaelo,0
Batho ba rata ikonomi,2
batho o dira mathata,0
Re pabalesego ka polotiki,2
Batho ba bua ka polotiki,1
Batho ba siame kgethololo,2
Batho ba bua ka molao,1
Batho ba tlhaelo mmuso,0
boitekanelo o kae,1
Batho ba mathata molao,0
Batho ba thabo ikonomi,2
tshiamelo o kae,1
Batho ba botlhoko batho,0
Re tshiamo ka modulasetilo,2
Ke itumelela batho,2
Re siame ka batho,2
mmuso e boikepo thata,0
Re kagiso ka setšhaba,2
puso e botlhoko thata,0
Batho ba boferefere lekgotla,0
puso e kgalefo thata,0
Ke bona puso,1
dikgethololo o dira kutlwelobotlhoko,0
Batho ba bua ka tshiamelo,1
molao o kae,1
tshiamelo o dira boferefere,0
Ke botoka tshiamelo,2
thuto o kae,1
kgethololo e kagiso thata,2
boitekanelo e teng,1
tshiamelo o dira kagiso,2
Batho ba itumelela mmuso,2
Re tlhokafalo ka boeteledipele,0
Batho ba bua ka dikgethololo,1
Re boikepo ka setšhaba,0
Ke botlhoko batho,0
Ke kutlwelobotlhoko tshiamelo,0
tokololo o kae,1
Re bosula ka thulaganyo,0
Re itse thulaganyo,1
Re siame ka lekgotla,2
Re itse boitekanelo,1
boeteledipele o kae,1
tonakgolo e tlhaelo thata,0
Re kgalefo ka dikgethololo,0
Ke bona tonakgolo,1
Re bogale ka ikonomi,0
batho e kgatelelo thata,0
Batho ba kgatelelo polotiki,0
Batho ba pabalesego lekgotla,2
Ke bona thulaganyo,1
Re boferefere ka kgethololo,0
Batho ba sentle boeteledipele,2
setšhaba o dira botlhoko,0
Ke bona dikgethololo,1
Ke boikepo mmuso,0
thuto o dira bosula,0
Batho ba dikgwetlho ikonomi,0
boitekanelo e teng,1
Batho ba bua ka tokololo,1
Re itumelela ka mmuso,2
Ke monate dikgethololo,2
Re boitumelo ka boitekanelo,2
Ke tlhokafalo modulasetilo,0
ditshwanelo o kae,1
