text,label,source
palamente e teng,1,lexicon_generated
lekgotla o dira kgalefo,0,lexicon_generated
ditshwanelo e teng,1,lexicon_generated
Batho ba siame kgethololo,2,lexicon_generated
ditshwanelo e thabo thata,2,lexicon_generated
Re thabo ka molao,2,lexicon_generated
thulaganyo e itumelela thata,2,lexicon_generated
Ke bona tokololo,1,lexicon_generated
Ke mathata modulasetilo,0,lexicon_generated
Batho ba boammaaruri kgethololo,2,lexicon_generated
molao e sentle thata,2,lexicon_generated
mmuso e itumelela thata,2,lexicon_generated
Re kgotla ka thulaganyo,2,lexicon_generated
Ke boitumelo lekgotla,2,lexicon_generated
Re itumelela ka tokololo,2,lexicon_generated
Re tlhokafalo ka palamente,0,lexicon_generated
Batho ba bua ka batho,1,lexicon_generated
Ke bona batho,1,lexicon_generated
Batho ba bua ka kgethololo,1,lexicon_generated
Batho ba kgotla boitekanelo,2,lexicon_generated
Batho ba boammaaruri tonakgolo,2,lexicon_generated
Re itse tokololo,1,lexicon_generated
tonakgolo e boferefere thata,0,lexicon_generated
tokololo o dira tlhong,0,lexicon_generated
Batho ba hutsafala puso,0,lexicon_generated
Ke tshiamo modulasetilo,2,lexicon_generated
Ke bona palamente,1,lexicon_generated
palamente e bosula thata,0,lexicon_generated
ditshwanelo e kgatelelo thata,0,lexicon_generated
Batho ba itumelela tonakgolo,2,lexicon_generated
modulasetilo o dira boikepo,0,lexicon_generated
batho e botlhoko thata,0,lexicon_generated
Re kgalefo ka thuto,0,lexicon_generated
Batho ba bua ka boitekanelo,1,lexicon_generated
Re itse mmuso,1,lexicon_generated
modulasetilo e maswe thata,0,lexicon_generated
ikonomi e teng,1,lexicon_generated
Re boitumelo ka ditshwanelo,2,lexicon_generated
Re boammaaruri ka mmuso,2,lexicon_generated
Ke bona dikgethololo,1,lexicon_generated
Batho ba bua ka puso,1,lexicon_generated
palamente o dira pabalesego,2,lexicon_generated
Re kutlwelobotlhoko ka ikonomi,2,lexicon_generated
boitekanelo o kae,1,lexicon_generated
tshiamelo e teng,1,lexicon_generated
boitekanelo e teng,1,lexicon_generated
Batho ba pabalesego boeteledipele,2,lexicon_generated
molao o kae,1,lexicon_generated
Batho ba bogale dikgethololo,0,lexicon_generated
boitekanelo e teng,1,lexicon_generated
Ke bona boeteledipele,1,lexicon_generated
boeteledipele e thabo thata,2,lexicon_generated
Ke kgotso kgethololo,2,lexicon_generated
Ke bona palamente,1,lexicon_generated
Batho ba bua ka boitekanelo,1,lexicon_generated
puso e tshiamo thata,2,lexicon_generated
palamente o kae,1,lexicon_generated
boeteledipele o dira pabalesego,2,lexicon_generated
tshiamelo o dira boitumelo,2,lexicon_generated
mmuso o dira molemo,2,lexicon_generated
Ke kagiso boeteledipele,2,lexicon_generated
Ke bona batho,1,lexicon_generated
lekgotla e teng,1,lexicon_generated
Re itse setšhaba,1,lexicon_generated
Batho ba bua ka thulaganyo,1,lexicon_generated
Ke bogale tonakgolo,0,lexicon_generated
batho o dira tlhaelo,0,lexicon_generated
Ke boikepo palamente,0,lexicon_generated
Batho ba sentle kgethololo,2,lexicon_generated
Re pabalesego ka dikgethololo,2,lexicon_generated
kgethololo o dira kutlwelobotlhoko,2,lexicon_generated
Ke kgalefo tokololo,0,lexicon_generated
Ke dikgwetlho thuto,0,lexicon_generated
Re maswe ka ikonomi,0,lexicon_generated
Ke rata tshiamelo,2,lexicon_generated
tshiamelo o dira boikepo,0,lexicon_generated
ikonomi o kae,1,lexicon_generated
Ke maswe lekgotla,0,lexicon_generated
Batho ba bua ka thuto,1,lexicon_generated
ikonomi o kae,1,lexicon_generated
Batho ba tlhokafalo mmuso,0,lexicon_generated
dikgethololo o dira siame,2,lexicon_generated
molao o dira boikepo,0,lexicon_generated
Re itse mmuso,1,lexicon_generated
Re boammaaruri ka dikgethololo,2,lexicon_generated
Re botoka ka setšhaba,2,lexicon_generated
Ke botoka boeteledipele,2,lexicon_generated
Re kagiso ka lekgotla,2,lexicon_generated
kgethololo e kgotso thata,2,lexicon_generated
Ke bona ikonomi,1,lexicon_generated
thuto e dikgwetlho thata,0,lexicon_generated
modulasetilo e kgalefo thata,0,lexicon_generated
ikonomi o dira rata,2,lexicon_generated
Re siame ka tonakgolo,2,lexicon_generated
Ke bona puso,1,lexicon_generated
Re itse polotiki,1,lexicon_generated
Re kagiso ka lekgotla,2,lexicon_generated
Ke tlhokafalo molao,0,lexicon_generated
Ke molemo tonakgolo,2,lexicon_generated
thuto o kae,1,lexicon_generated
molao o dira bogale,0,lexicon_generated
ikonomi o dira tlhokafalo,0,lexicon_generated
Batho ba bua ka modulasetilo,1,lexicon_generated
Ke botlhoko kgethololo,0,lexicon_generated
tonakgolo o kae,1,lexicon_generated
